ORDER_NUMBER,QUANTITY,PRICE,ORDER_DATE,QTR_ID,MONTH_ID,YEAR_ID,CUSTOMER_NAME,PHONE
10134,4,35,01/05/2023,1,1,2023,Lynn,+65 91234567
10201,3,35,01/07/2023,1,1,2023,Janet,+65 92345678
10121,3,35,02/04/2023,1,2,2023,Sam,+65 93456789
10159,1,35,02/10/2023,1,2,2023,Justin,+65 90123456
10180,2,35,02/11/2023,1,2,2023,Warner,+65 81234567
10211,3,35,02/15/2023 ,1,2,2023,Joan,+65 82345678
10168,1,35,03/28/2023,1,3,2023,Frank,+65 90785634
10188,2,35,05/18/2023,2,5,2023,Joey,+65 91827364
10223,2,35,06/20/2023,2,6,2023,Tida,+65 91111111
10107,2,35,08/24/2023,3,8,2023,Mary,+65 92222222
10145,4,35,10/25/2023,4,9,2023,Roger,+65 93333333
